Company,TypeName,Ram,Weight,Price,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os
Apple,Ultrabook,8,1.37,11.17575455,0,1,226.9830047,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,10.77677732,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,10.32993107,0,0,141.2119981,Intel Core i5,0,256,Intel,Others
Apple,Ultrabook,16,1.83,11.81447594,0,1,220.5346239,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,11.47310097,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,9.967025573,0,0,100.4546699,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,11.64410812,0,1,220.5346239,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,11.03061499,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,11.28544251,0,0,157.3505121,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,10.62195154,0,1,157.3505121,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,9.951658096,0,0,100.4546699,Intel Core i5,500,0,Intel,Others
HP,Notebook,4,1.86,9.819076457,0,0,141.2119981,Intel Core i3,500,0,Intel,Others
Apple,Ultrabook,16,1.83,11.77530205,0,1,220.5346239,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,10.1879667,0,0,141.2119981,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,11.11633098,0,1,226.4155472,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,11.30107224,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,10.58894524,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,11.93343838,0,1,220.5346239,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,10.18816712,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,Others
Dell,Ultrabook,8,1.22,10.86209267,1,1,165.6321181,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,9.232535429,0,0,135.0942112,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,10.8823158,0,1,141.2119981,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,9.528520611,0,0,100.4546699,AMD Processor,500,0,AMD,Others
Dell,2 in 1 Convertible,8,1.62,10.68364511,1,0,165.6321181,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,10.46628456,0,0,141.2119981,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,10.01257239,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,10.97771698,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,10.66017275,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,11.14414092,0,0,141.2119981,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,10.77350144,0,0,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,9.47677842,0,0,141.2119981,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,9.268865851,0,0,111.9352036,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,10.06006044,0,0,127.3356746,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,11.50871983,1,0,276.0535301,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,10.8813143,0,0,127.6779401,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,9.493013923,0,0,111.9352036,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,9.880922874,0,0,100.4546699,Intel Core i3,1000,0,Intel,Others
Dell,Notebook,8,2.8,10.86209267,0,1,127.3356746,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,10.16728937,0,0,100.4546699,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,10.75434592,0,0,141.2119981,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2,9.93914037,0,0,141.2119981,Intel Core i3,1000,0,Intel,Others
Dell,Gaming,16,2.65,11.28811452,0,1,141.2119981,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,10.23512337,0,0,100.4546699,Intel Core i5,1000,0,Nvidia,Others
Acer,Notebook,4,2.2,10.50059068,0,1,141.2119981,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,10.8823158,1,0,127.3356746,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,11.2332687,0,1,226.9830047,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,9.88635767,0,0,100.4546699,Intel Core i3,0,128,Intel,Others
Asus,Gaming,8,3.2,11.14491104,0,0,127.3356746,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,10.43546548,0,0,141.2119981,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,10.11974666,0,0,90.58340172,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,9.740752129,1,1,224.1738091,Other Intel Processor,0,0,Intel,Others
Acer,Notebook,8,2.2,10.71015269,0,1,141.2119981,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,9.96324343,0,0,141.2119981,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,10.98135005,0,0,165.6321181,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,9.926203579,0,0,100.4546699,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,10.61909031,0,0,141.2119981,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,10.06006044,0,0,141.2119981,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2,10.349205,0,0,100.4546699,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,11.77899608,0,0,127.3356746,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2,10.00383955,0,0,141.2119981,Intel Core i3,0,256,Intel,Others
Dell,Notebook,16,2.8,11.14491104,0,0,127.3356746,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,10.75434592,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,10.37082262,0,1,157.3505121,Intel Core i3,0,256,Intel,Others
Asus,Notebook,8,1.4,10.82250417,0,0,157.3505121,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,10.51225262,0,0,141.2119981,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,11.56792715,0,0,141.2119981,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,10.05935404,0,0,100.4546699,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,9.40928303,0,0,111.9352036,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,10.28365947,0,0,141.2119981,Intel Core i5,1000,0,Intel,Windows
